,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
0,0.03,0.0,0.03,0.0
1,0.01,0.0,0.01,0.0
2,0.04,0.01,0.03,0.05
3,0.02,0.01,0.01,0.05
4,0.02,0.01,0.01,0.05
5,0.02,0.01,0.01,0.05
6,0.02,0.01,0.01,0.05
7,0.03,0.01,0.02,0.05
8,0.04,0.02,0.02,0.09
9,0.04,0.01,0.03,0.05
10,0.05,0.0,0.05,0.0
11,0.05,0.0,0.05,0.0
12,0.06,0.01,0.05,0.05
13,0.05,0.0,0.05,0.0
14,0.05,0.02,0.03,0.09
15,0.05,0.01,0.04,0.05
16,0.05,0.0,0.05,0.0
17,0.07,0.0,0.07,0.0
18,0.04,0.0,0.04,0.0
19,0.07,0.01,0.06,0.05
20,0.07,0.01,0.06,0.05
21,0.06,0.01,0.05,0.05
22,0.07,0.01,0.06,0.05
23,0.09,0.0,0.09,0.0
24,0.09,0.01,0.08,0.05
25,0.09,0.01,0.08,0.05
26,0.09,0.0,0.09,0.0
27,0.1,0.01,0.09,0.05
28,0.1,0.01,0.09,0.05
29,0.1,0.01,0.09,0.05
30,0.11,0.0,0.11,0.0
31,0.11,0.01,0.1,0.05
32,0.11,0.01,0.1,0.05
33,0.12,0.01,0.11,0.05
34,0.11,0.0,0.11,0.0
35,0.12,0.0,0.12,0.0
36,0.12,0.01,0.11,0.05
37,0.13,0.01,0.12,0.05
38,0.13,0.01,0.12,0.05
39,0.13,0.09,0.04,0.41
40,0.14,0.01,0.13,0.05
41,0.14,0.01,0.13,0.05
42,0.15,0.01,0.14,0.05
43,0.15,0.0,0.15,0.0
44,0.15,0.0,0.15,0.0
45,0.15,0.0,0.15,0.0
46,0.15,0.01,0.14,0.05
47,0.16,0.01,0.15,0.05
48,0.16,0.01,0.15,0.05
49,0.17,0.01,0.16,0.05
50,0.17,0.01,0.16,0.05
51,0.17,0.01,0.16,0.05
52,0.16,0.01,0.15,0.05
53,0.17,0.01,0.16,0.05
54,0.18,0.01,0.17,0.05
55,0.19,0.01,0.18,0.05
56,0.19,0.0,0.19,0.0
57,0.19,0.01,0.18,0.05
58,0.19,0.0,0.19,0.0
59,0.19,0.01,0.18,0.05
60,0.21,0.0,0.21,0.0
61,0.21,0.04,0.17,0.18
62,0.21,0.01,0.2,0.05
63,0.21,0.02,0.19,0.09
64,0.22,0.01,0.21,0.05
65,0.22,0.01,0.21,0.05
66,0.22,0.02,0.2,0.09
67,0.22,0.01,0.21,0.05
68,0.23,0.02,0.21,0.09
69,0.21,0.0,0.21,0.0
70,0.24,0.01,0.23,0.05
71,0.24,0.01,0.23,0.05
72,0.24,0.01,0.23,0.05
73,0.24,0.0,0.24,0.0
74,0.25,0.01,0.24,0.05
75,0.28,0.01,0.27,0.05
76,0.26,0.01,0.25,0.05
77,0.25,0.0,0.25,0.0
78,0.26,0.01,0.25,0.05
79,0.26,0.0,0.26,0.0
80,0.27,0.02,0.25,0.09
81,0.28,0.01,0.27,0.05
82,0.27,0.01,0.26,0.05
83,0.27,0.01,0.26,0.05
84,0.26,0.01,0.25,0.05
85,0.28,0.01,0.27,0.05
86,0.29,0.0,0.29,0.0
87,0.29,0.02,0.27,0.09
88,0.29,0.01,0.28,0.05
89,0.3,0.01,0.29,0.05
90,0.3,0.02,0.28,0.09
91,0.31,0.0,0.31,0.0
92,0.31,0.01,0.3,0.05
93,0.31,0.0,0.31,0.0
94,0.31,0.0,0.31,0.0
95,0.32,0.0,0.32,0.0
96,0.34,0.01,0.33,0.05
97,0.32,0.0,0.32,0.0
98,0.36,0.01,0.35,0.05
99,0.33,0.01,0.32,0.05
100,0.33,0.0,0.33,0.0
101,0.33,0.0,0.33,0.0
102,0.34,0.01,0.33,0.05
103,0.34,0.01,0.33,0.05
104,0.35,0.0,0.35,0.0
105,0.34,0.01,0.33,0.05
106,0.35,0.01,0.34,0.05
107,0.35,0.0,0.35,0.0
108,0.36,0.0,0.36,0.0
109,0.36,0.0,0.36,0.0
110,0.36,0.0,0.36,0.0
111,0.37,0.01,0.36,0.05
112,0.36,0.03,0.33,0.14
113,0.37,0.0,0.37,0.0
114,0.38,0.01,0.37,0.05
115,0.38,0.02,0.36,0.09
116,0.38,0.01,0.37,0.05
117,0.38,0.0,0.38,0.0
118,0.39,0.0,0.39,0.0
119,0.37,0.01,0.36,0.05
120,0.39,0.0,0.39,0.0
121,0.4,0.02,0.38,0.09
122,0.4,0.02,0.38,0.09
123,0.41,0.0,0.41,0.0
124,0.4,0.01,0.39,0.05
125,0.41,0.01,0.4,0.05
126,0.42,0.01,0.41,0.05
127,0.41,0.01,0.4,0.05
128,0.42,0.01,0.41,0.05
129,0.42,0.01,0.41,0.05
130,0.43,0.01,0.42,0.05
131,0.43,0.0,0.43,0.0
132,0.44,0.01,0.43,0.05
133,0.43,0.01,0.42,0.05
134,0.44,0.0,0.44,0.0
135,0.45,0.0,0.45,0.0
136,0.45,0.0,0.45,0.0
137,0.45,0.0,0.45,0.0
138,0.44,0.0,0.44,0.0
139,0.45,0.01,0.44,0.05
140,0.46,0.01,0.45,0.05
141,0.46,0.02,0.44,0.09
142,0.46,0.01,0.45,0.05
143,0.47,0.01,0.46,0.05
144,0.47,0.01,0.46,0.05
145,0.47,0.01,0.46,0.05
146,0.48,0.03,0.45,0.14
147,0.48,0.01,0.47,0.05
148,0.49,0.08,0.41,0.36
149,0.49,0.01,0.48,0.05
150,0.49,0.01,0.48,0.05
151,0.49,0.01,0.48,0.05
152,0.5,0.01,0.49,0.05
153,0.5,0.01,0.49,0.05
154,0.5,0.0,0.5,0.0
155,0.51,0.01,0.5,0.05
156,0.51,0.01,0.5,0.05
157,0.51,0.0,0.51,0.0
158,0.52,0.01,0.51,0.05
159,0.52,0.02,0.5,0.09
160,0.53,0.0,0.53,0.0
161,0.53,0.01,0.52,0.05
162,0.53,0.01,0.52,0.05
163,0.53,0.02,0.51,0.09
164,0.54,0.01,0.53,0.05
165,0.53,0.01,0.52,0.05
